Organism	Element ID	Element Description	Promoter	Transgenesis	Stage	Expression	Tissues	Genome Assembly	Element Coordinates
Human	hs1.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Hindbrain, Limb, Neural tube	hg38	chr16:86396481-86397120
Human	hs2.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:85586489-85588130
Human	hs3.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:80389446-80390755
Human	hs4.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain, Neural tube	hg38	chr16:80338700-80339858
Human	hs5.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:79936010-79937400
Human	hs6.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:79916053-79917621
Human	hs7.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78992666-78994265
Human	hs9.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78899360-78900789
Human	hs10.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78798285-78799698
Human	hs11.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78609322-78610934
Human	hs12.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain	hg38	chr16:78476711-78478047
Human	hs13.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78402512-78403811
Human	hs14.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78353126-78354788
Human	hs15.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:78175854-78177465
Human	hs16.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Other	hg38	chr16:72947001-72948646
Human	hs17.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:72895983-72897389
Human	hs18.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:72853694-72854614
Human	hs19.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:72805663-72807225
Human	hs20.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr16:72704669-72706250
Human	hs21.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:72241307-72242883
Human	hs22.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr16:72220667-72221926
Human	hs23.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr16:55390504-55391826
Human	hs24.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:55384120-55384969
Human	hs25.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:55206681-55207962
Human	hs26.0	reference	Hsp68	random	e12.5	positive	Eye, Midbrain, Neural tube	hg38	chr16:55189273-55190371
Human	hs27.0	reference	Hsp68	random	e12.5	positive	Eye, Limb	hg38	chr16:55045325-55046517
Human	hs28.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:55040448-55041163
Human	hs31.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54765190-54766248
Human	hs32.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54750731-54751703
Human	hs34.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54645555-54646447
Human	hs35.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54631417-54633346
Human	hs36.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54623270-54624405
Human	hs37.0	reference	Hsp68	random	e12.5	positive	Forebrain	hg38	chr16:54616686-54617970
Human	hs38.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54590592-54591598
Human	hs39.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54585069-54586352
Human	hs41.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54577555-54578525
Human	hs42.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54545814-54546743
Human	hs43.0	reference	Hsp68	random	e11.5	positive	Midbrain, Nose, Tail	hg38	chr16:54541966-54544013
Human	hs44.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54582300-54583125
Human	hs46.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54489263-54490155
Human	hs46.0	reference	Hsp68	random	e12.5	positive	Eye, Midbrain	hg38	chr16:54489263-54490155
Human	hs47.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54506390-54507534
Human	hs49.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54351107-54351727
Human	hs50.0	reference	Hsp68	random	e12.5	negative		hg38	chr16:54316433-54317773
Human	hs51.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr16:54289508-54290424
Human	hs52.0	reference	Hsp68	random	e12.5	positive	Dorsal root ganglion, Trigeminal V (ganglion, cranial)	hg38	chr16:54109942-54110955
Human	hs53.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54105894-54106356
Human	hs55.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:54058702-54060209
Human	hs57.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:53895301-53895912
Human	hs58.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:53726386-53727245
Human	hs59.0	reference	Hsp68	random	e12.5	positive	Branchial arch, Eye, Nose	hg38	chr16:53692404-53693644
Human	hs60.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:53544122-53545073
Human	hs62.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52496629-52498059
Human	hs63.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52469922-52471014
Human	hs64.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:52402347-52403464
Human	hs65.0	reference	Hsp68	random	e11.5	positive	Somite	hg38	chr16:51924376-51925776
Human	hs66.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51783402-51784513
Human	hs68.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51752271-51753458
Human	hs69.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51723280-51724332
Human	hs70.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:51698239-51699703
Human	hs71.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr16:51637270-51638128
Human	hs71.0	reference	Shh	targeted (H11)	e11.5	negative		hg38	chr16:51637270-51638128
Human	hs72.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr16:51623900-51624805
Human	hs72.0	reference	Shh	targeted (H11)	e11.5	positive	Limb	hg38	chr16:51623900-51624805
Human	hs72.0	reference	Shh	targeted (H11)	e12.5	positive	Limb	hg38	chr16:51623900-51624805
Human	hs72.0	reference	Shh	targeted (H11)	e13.5	positive	Limb	hg38	chr16:51623900-51624805
